pitcher_name,year,ERA,WAR,TBF,H,HR,BB,HBP,SO,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,SwStr%,Swing%
다이아몬드,2013.0,5.43,-0.3,576.0,163.0,21.0,36.0,1.0,52.0,1.52,0.305,5.19,0.213,0.469,0.653,0.052000000000000005,0.057999999999999996,0.45399999999999996
험버,2012.0,6.44,-0.3,462.0,113.0,23.0,44.0,4.0,85.0,1.54,0.294,5.77,0.222,0.349,0.526,0.079,0.079,0.436
니퍼트,2010.0,4.29,-0.3,262.0,61.0,7.0,34.0,5.0,47.0,1.68,0.32,5.09,0.267,0.32,0.6659999999999999,0.099,0.08199999999999999,0.423
듀브론트,2014.0,5.54,-0.3,364.0,91.0,12.0,33.0,2.0,51.0,1.56,0.297,5.13,0.225,0.38,0.578,0.11199999999999999,0.07,0.429
맨쉽,2016.0,3.12,-0.3,189.0,40.0,7.0,22.0,0.0,36.0,1.43,0.266,5.11,0.13,0.511,0.51,0.085,0.114,0.428
티포드,2011.0,3.27,-0.3,175.0,36.0,8.0,14.0,1.0,28.0,1.14,0.226,5.14,0.23800000000000002,0.446,0.47,0.122,0.081,0.45799999999999996
베렛,2017.0,4.22,-0.3,47.0,11.0,3.0,3.0,2.0,9.0,1.31,0.267,6.53,0.133,0.3670000000000001,0.494,0.0,0.147,0.494
서캠프,2014.0,4.81,-0.3,107.0,22.0,3.0,13.0,1.0,20.0,1.44,0.271,4.82,0.203,0.406,0.426,0.07400000000000001,0.086,0.413
허프,2010.0,6.21,-0.3,369.0,101.0,14.0,34.0,3.0,37.0,1.69,0.31,5.83,0.20600000000000002,0.364,0.649,0.136,0.055,0.441
스와잭,2016.0,5.52,-0.3,124.0,28.0,10.0,7.0,1.0,31.0,1.13,0.24,6.11,0.107,0.46399999999999997,0.48200000000000004,0.19399999999999998,0.096,0.473
벨레스터,2015.0,7.47,-0.3,77.0,17.0,3.0,13.0,1.0,13.0,1.91,0.298,6.64,0.16,0.28,0.718,0.071,0.10400000000000001,0.429
산체스,2017.0,8.76,-0.3,54.0,16.0,5.0,1.0,0.0,10.0,1.38,0.289,7.05,0.18600000000000005,0.419,0.48100000000000004,0.0,0.13,0.514
샘슨,2016.0,4.35,-0.3,188.0,40.0,9.0,27.0,2.0,42.0,1.7,0.287,6.2,0.183,0.38299999999999995,0.58,0.06,0.102,0.40299999999999997
맨쉽,2012.0,7.89,-0.3,98.0,29.0,4.0,7.0,1.0,12.0,1.66,0.338,5.49,0.20800000000000002,0.506,0.537,0.045,0.083,0.47100000000000003
서캠프,2013.0,23.62,-0.3,18.0,9.0,2.0,0.0,2.0,0.0,3.37,0.5,15.05,0.25,0.188,0.5710000000000001,0.111,0.071,0.5
로저스,2011.0,7.05,-0.4,404.0,110.0,14.0,47.0,6.0,63.0,1.89,0.35,5.62,0.22399999999999998,0.423,0.596,0.071,0.07200000000000001,0.45899999999999996
아델만,2017.0,5.52,-0.4,531.0,124.0,29.0,51.0,6.0,108.0,1.43,0.282,5.87,0.19,0.344,0.583,0.084,0.10800000000000001,0.47100000000000003
피가로,2013.0,4.14,-0.4,316.0,77.0,15.0,15.0,1.0,54.0,1.24,0.268,4.87,0.193,0.48700000000000004,0.664,0.053,0.076,0.484
스와잭,2012.0,5.03,-0.4,413.0,106.0,15.0,31.0,0.0,62.0,1.42,0.298,4.79,0.212,0.434,0.6559999999999999,0.054000000000000006,0.075,0.45799999999999996
벨레스터,2011.0,4.54,-0.4,159.0,38.0,7.0,14.0,1.0,34.0,1.46,0.301,4.93,0.19399999999999998,0.41700000000000004,0.691,0.048,0.07200000000000001,0.4270000000000001
티포드,2012.0,4.99,-0.4,263.0,68.0,11.0,21.0,2.0,35.0,1.45,0.294,5.41,0.20199999999999999,0.43799999999999994,0.41,0.096,0.077,0.446
볼스테드,2018.0,6.27,-0.4,215.0,65.0,9.0,12.0,3.0,29.0,1.63,0.34600000000000003,5.36,0.182,0.5529999999999999,0.659,0.08900000000000001,0.051,0.43
보니야,2017.0,8.1,-0.4,172.0,42.0,8.0,22.0,2.0,28.0,1.75,0.304,6.43,0.21899999999999997,0.43,0.498,0.05,0.11800000000000001,0.473
레일리,2012.0,8.14,-0.4,116.0,33.0,7.0,11.0,0.0,16.0,1.81,0.317,6.88,0.23,0.379,0.496,0.08800000000000001,0.099,0.441
에반,2014.0,5.79,-0.4,107.0,26.0,3.0,11.0,2.0,16.0,1.59,0.307,5.1,0.21899999999999997,0.493,0.316,0.048,0.078,0.474
스와잭,2018.0,6.15,-0.4,116.0,28.0,6.0,14.0,1.0,31.0,1.59,0.344,5.48,0.275,0.304,0.534,0.069,0.09,0.436
이브랜드,2016.0,9.0,-0.4,119.0,32.0,3.0,19.0,3.0,21.0,2.22,0.397,5.89,0.22399999999999998,0.474,0.4970000000000001,0.0,0.076,0.409
허프,2016.0,11.81,-0.4,32.0,13.0,4.0,2.0,0.0,3.0,2.81,0.391,12.9,0.26899999999999996,0.5,0.565,0.0,0.055999999999999994,0.47200000000000003
플란데,2015.0,4.74,-0.5,296.0,73.0,14.0,25.0,1.0,43.0,1.43,0.277,5.68,0.159,0.591,0.54,0.036000000000000004,0.076,0.436
벨레스터,2012.0,6.5,-0.5,83.0,14.0,5.0,11.0,3.0,12.0,1.39,0.173,7.71,0.161,0.321,0.684,0.069,0.077,0.418
웹스터,2013.0,8.6,-0.5,145.0,37.0,7.0,18.0,2.0,23.0,1.81,0.316,6.51,0.20600000000000002,0.431,0.617,0.135,0.127,0.45799999999999996
서캠프,2016.0,6.98,-0.5,197.0,55.0,8.0,21.0,5.0,22.0,1.97,0.333,6.72,0.284,0.324,0.5329999999999999,0.121,0.067,0.439
아담,2017.0,9.0,-0.5,74.0,24.0,6.0,9.0,0.0,8.0,2.36,0.353,9.51,0.16699999999999998,0.389,0.55,0.0,0.08900000000000001,0.457
베렛,2016.0,5.2,-0.6,406.0,100.0,16.0,43.0,4.0,66.0,1.56,0.303,5.51,0.22699999999999998,0.441,0.562,0.032,0.086,0.47
헥터,2012.0,5.82,-0.6,453.0,107.0,21.0,39.0,2.0,68.0,1.37,0.266,5.53,0.17800000000000002,0.37,0.604,0.092,0.09300000000000001,0.48200000000000004
비야누에바,2016.0,5.96,-0.6,321.0,89.0,17.0,14.0,3.0,61.0,1.39,0.319,5.17,0.242,0.42100000000000004,0.457,0.12300000000000001,0.11,0.474
레나도,2014.0,4.81,-0.7,170.0,39.0,10.0,16.0,0.0,15.0,1.4,0.225,6.89,0.141,0.341,0.66,0.14300000000000002,0.05,0.436
린드블럼,2012.0,3.55,-0.7,304.0,61.0,13.0,35.0,4.0,70.0,1.35,0.264,5.15,0.205,0.358,0.648,0.18100000000000002,0.10300000000000001,0.466
오설리반,2011.0,7.25,-0.7,273.0,78.0,10.0,26.0,2.0,19.0,1.78,0.315,6.04,0.21,0.397,0.574,0.035,0.051,0.424
오설리반,2015.0,6.08,-0.7,328.0,94.0,16.0,20.0,6.0,35.0,1.61,0.311,6.18,0.19,0.415,0.578,0.049,0.062,0.461
루카스,2013.0,5.86,-0.8,707.0,174.0,20.0,88.0,6.0,89.0,1.7,0.306,5.42,0.21100000000000002,0.515,0.718,0.121,0.051,0.389
레나도,2016.0,9.48,-0.8,151.0,36.0,10.0,20.0,0.0,18.0,1.79,0.252,8.06,0.14300000000000002,0.402,0.5660000000000001,0.11800000000000001,0.053,0.462
오간도,2015.0,3.99,-0.9,277.0,59.0,12.0,28.0,3.0,53.0,1.33,0.26,5.32,0.205,0.42100000000000004,0.637,0.141,0.11199999999999999,0.478
웹스터,2015.0,5.81,-0.9,142.0,32.0,10.0,20.0,2.0,17.0,1.68,0.237,8.36,0.149,0.465,0.626,0.154,0.10099999999999999,0.46
